annotator,reference,comparison_label,lang,sample_id,status,table_iaa,table_iaa_ci,node_precision,node_recall,node_iaa,node_tp,annotation_node_count,reference_node_count,node_precision_ci,node_recall_ci,node_iaa_ci,node_tp_ci,node_path_precision,node_path_recall,node_path_iaa,node_path_tp,annotation_path_node_count,reference_path_node_count,node_path_iaa_ci,annotation_path,reference_path
annotator_D,annotator_A,annotator_D__vs__annotator_A,en,352,ok,0.000000,0.000000,0.950000,0.974359,0.962025,76,80,78,0.950000,0.974359,0.962025,76,0.950000,0.974359,0.962025,76,80,78,0.962025,IAA/stage3/annotator_D/en/352.json,workflow/1-annotated_json/data_en/352.json
annotator_D,annotator_A,annotator_D__vs__annotator_A,en,355,ok,0.000000,0.000000,0.677419,0.807692,0.736842,21,31,26,0.677419,0.807692,0.736842,21,0.677419,0.807692,0.736842,21,31,26,0.736842,IAA/stage3/annotator_D/en/355.json,workflow/1-annotated_json/data_en/355.json
annotator_D,annotator_A,annotator_D__vs__annotator_A,en,356,ok,1.000000,1.000000,1.000000,1.000000,1.000000,22,22,22,1.000000,1.000000,1.000000,22,1.000000,1.000000,1.000000,22,22,22,1.000000,IAA/stage3/annotator_D/en/356.json,workflow/1-annotated_json/data_en/356.json
annotator_D,annotator_A,annotator_D__vs__annotator_A,en,357,ok,0.000000,0.000000,0.960000,0.979592,0.969697,48,50,49,0.960000,0.979592,0.969697,48,0.960000,0.979592,0.969697,48,50,49,0.969697,IAA/stage3/annotator_D/en/357.json,workflow/1-annotated_json/data_en/357.json
annotator_D,annotator_A,annotator_D__vs__annotator_A,en,358,ok,1.000000,1.000000,1.000000,1.000000,1.000000,93,93,93,1.000000,1.000000,1.000000,93,1.000000,1.000000,1.000000,93,93,93,1.000000,IAA/stage3/annotator_D/en/358.json,workflow/1-annotated_json/data_en/358.json
annotator_D,annotator_A,annotator_D__vs__annotator_A,en,359,ok,1.000000,1.000000,1.000000,1.000000,1.000000,24,24,24,1.000000,1.000000,1.000000,24,1.000000,1.000000,1.000000,24,24,24,1.000000,IAA/stage3/annotator_D/en/359.json,workflow/1-annotated_json/data_en/359.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,141,ok,0.000000,0.000000,1.000000,1.000000,1.000000,82,82,82,1.000000,1.000000,1.000000,82,1.000000,1.000000,1.000000,82,82,82,1.000000,IAA/stage3/annotator_A/zh/141.json,workflow/1-annotated_json/data_zh/141.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,148,ok,0.000000,0.000000,0.882353,0.882353,0.882353,15,17,17,0.882353,0.882353,0.882353,15,0.529412,0.529412,0.529412,9,17,17,0.529412,IAA/stage3/annotator_A/zh/148.json,workflow/1-annotated_json/data_zh/148.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,149,ok,0.000000,0.000000,0.500000,0.500000,0.500000,10,20,20,0.500000,0.500000,0.500000,10,0.500000,0.500000,0.500000,10,20,20,0.500000,IAA/stage3/annotator_A/zh/149.json,workflow/1-annotated_json/data_zh/149.json
annotator_A,annotator_E,annotator_A__vs__annotator_E,zh,174,ok,0.000000,0.000000,0.965116,0.954023,0.959538,83,86,87,0.965116,0.954023,0.959538,83,0.930233,0.919540,0.924855,80,86,87,0.924855,IAA/stage3/annotator_A/zh/174.json,workflow/1-annotated_json/data_zh/174.json
